analyte,lab,age,lower_limit,upper_limit
alanine,benioff,child,200,450
alanine,benioff,adult,230,510
Alpha-aminoadipic acid,benioff,child,NA,NA
Alpha-aminoadipic acid,benioff,adult,NA,NA
Alpha-amino-N-butyric acid,benioff,child,8,37
Alpha-amino-N-butyric acid,benioff,adult,15,41
Arginine,benioff,child,44,120
Arginine,benioff,adult,13,64
Asparagine,benioff,child,15,40
Asparagine,benioff,adult,45,130
Aspartic acid,benioff,child,0,26
Aspartic acid,benioff,adult,0,6
Beta-alanine,benioff,child,0,49
Beta-alanine,benioff,adult,0,29
Beta-amino-isobutyric acid,benioff,child,NA,NA
Beta-amino-isobutyric acid,benioff,adult,NA,NA
Carnosine,benioff,child,NA,NA
Carnosine,benioff,adult,NA,NA
Citrulline,benioff,child,16,32
Citrulline,benioff,adult,16,55
Cystine,benioff,child,19,47
Cystine,benioff,adult,30,65
Glutamic acid,benioff,child,32,140
Glutamic acid,benioff,adult,18,98
Glutamine,benioff,child,420,730
Glutamine,benioff,adult,390,650
Glycine,benioff,child,110,240
Glycine,benioff,adult,170,330
Histidine,benioff,child,68,120
Histidine,benioff,adult,26,120
Hydroxyproline,benioff,child,0,5
Hydroxyproline,benioff,adult,NA,NA
Isoleucine,benioff,child,37,140
Isoleucine,benioff,adult,42,100
Leucine,benioff,child,70,170
Leucine,benioff,adult,66,170
Lysine,benioff,child,120,290
Lysine,benioff,adult,150,220
Methionine,benioff,child,13,30
Methionine,benioff,adult,16,30
1-methylhistidine,benioff,child,NA,NA
1-methylhistidine,benioff,adult,NA,NA
3-methylhistidine,benioff,child,0,52
3-methylhistidine,benioff,adult,0,64
Ornithine,benioff,child,44,90
Ornithine,benioff,adult,27,80
Phenylalanine,benioff,child,26,86
Phenylalanine,benioff,adult,41,68
Phosphoserine,benioff,child,0,12
Phosphoserine,benioff,adult,0,12
Phosphoethanolamine,benioff,child,0,12
Phosphoethanolamine,benioff,adult,0,55
Proline,benioff,child,130,290
Proline,benioff,adult,110,360
Serine,benioff,child,93,150
Serine,benioff,adult,56,140
Taurine,benioff,child,11,120
Taurine,benioff,adult,45,130
Threonine,benioff,child,67,150
Threonine,benioff,adult,45,130
Tyrosine,benioff,child,26,110
Tyrosine,benioff,adult,45,74
Valine,benioff,child,160,350
Valine,benioff,adult,150,310
ethanolamine,benioff,child,NA,NA
ethanolamine,benioff,adult,NA,NA
Sarcosine,benioff,child,NA,NA
Sarcosine,benioff,adult,NA,NA
Argininosuccinic Acid,benioff,child,NA,NA
Argininosuccinic Acid,benioff,adult,NA,NA
Anserine,benioff,child,NA,NA
Anserine,benioff,adult,NA,NA
Homocitruline,benioff,child,NA,NA
Homocitruline,benioff,adult,NA,NA
g-Amino-n-butyric Acid,benioff,child,NA,NA
g-Amino-n-butyric Acid,benioff,adult,NA,NA
Beta-Aminoisobutyric Acid,benioff,child,NA,NA
Beta-Aminoisobutyric Acid,benioff,adult,NA,NA
Hydroxylysine,benioff,child,NA,NA
Hydroxylysine,benioff,adult,NA,NA
Cystathionine,benioff,child,NA,NA
Cystathionine,benioff,adult,NA,NA
Tryptophan,benioff,child,NA,NA
Tryptophan,benioff,adult,NA,NA
Alloisoleucine,benioff,child,NA,NA
Alloisoleucine,benioff,adult,NA,NA
alanine,mayo,child,139,474
alanine,mayo,adult,200,579
Alpha-aminoadipic acid,mayo,child,0,4
Alpha-aminoadipic acid,mayo,adult,0,3
Alpha-amino-N-butyric acid,mayo,child,7,28
Alpha-amino-N-butyric acid,mayo,adult,9,37
Arginine,mayo,child,29,134
Arginine,mayo,adult,32,120
Asparagine,mayo,child,25,91
Asparagine,mayo,adult,37,92
Aspartic acid,mayo,child,2,20
Aspartic acid,mayo,adult,0,7
