country,analyte,Source,age,mean,sd,up_lim,low_lim,unit,,,
US,alanine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,216.51,42.75,NA,NA,μmol/L,,,
US,arginine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,96.75,22.92,NA,NA,μmol/L,,,
US,argininosuccinic aciduria,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,0.17,0.05,NA,NA,μmol/L,,,
US,asparagine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
US,aspartic acid,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,57.79,10.97,NA,NA,μmol/L,,,
US,citrulline,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,38.86,8.13,NA,NA,μmol/L,,,
US,Formiminoglutamic acid,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,0.15,0.03,NA,NA,μmol/L,,,
US,glutamic acid,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,132.31,20.91,NA,NA,μmol/L,,,
US,glutamine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
US,glycine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,484.02,64.33,NA,NA,μmol/L,,,
US,histidine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
US,Homo-Cit,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,1.06,0.2,NA,NA,μmol/L,,,
US,isoleucine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
US,leucine(Xle),Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,159.85,22.67,NA,NA,μmol/L,,,
US,methionine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,31.91,6.1,NA,NA,μmol/L,,,
US,ornithine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,34.39,4.56,NA,NA,μmol/L,,,
US,phenylalanine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,95.86,11.45,NA,NA,μmol/L,,,
US,serine,Serum Amino Acid Profiles in Normal Subjects and in Patients with or at Risk of Alzheimer Dementia (nih.gov),65,NA,NA,NA,NA,μmol/L,,,
